id;name;date;description;photo;photo_content_type;type
1;Progressive;2020-08-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
2;Falls Cotton;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
3;Buckinghamshire Multi-tiered;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
4;Sleek Cotton Chair;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
5;Ergonomic Fresh Soap bypass Electronics;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
6;Berkshire;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
7;withdrawal;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
8;Savings Account payment array;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
9;payment XML;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
10;Keyboard Corners Kyrgyz Republic;2020-08-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
